"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04841499","Effects of a Seven-day BASIS™ Supplementation on Menopausal Syndromes and Measurements of the Urinary Vitamin B3 and Estradiol Levels in Pre-, Peri- and Post-menopause",,"Completed","No Results Available","Menopause","Drug: BASIS™ (Crystalline Nicotinamide Riboside 250mg and Pterostilbene 50mg)","Production of Estradiol|Change undesirable effects of menopause","University of South Alabama|Elysium Health, Inc.","Female","35 Years and older   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","USAH-EH301","April 5, 2021","July 15, 2021","July 15, 2021","April 12, 2021",,"November 18, 2021","University of South Alabama, Mobile, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04841499"
12,"NCT01556737","Effect of Two Different Isoflavone Supplement Preparations on Gene-expression in Postmenopausal Women","ISOII","Completed","No Results Available","Postmenopause","Dietary Supplement: High daidzein supplement|Dietary Supplement: High genistein supplement","Gene-expression in PBMCs|Isoflavone levels in plasma|Gene - expression in adipose tissue|Isoflavone levels in adipose tissue","Wageningen University","Female","50 Years to 70 Years   (Adult, Older Adult)","Not Applicable","72","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)","NL37475.081.11|ISO II study","November 2011","September 2012","September 2012","March 16, 2012",,"October 31, 2012","Wageningen University, Wageningen, Gelderland, Netherlands",,"https://ClinicalTrials.gov/show/NCT01556737"
13,"NCT01432028","Pharmacogenetic Study of Different Hormone Therapies in Recent Menopause Women",,"Completed","No Results Available","Postmenopause","Drug: Estradiol and Progesterone|Drug: Estradiol and Drospirenone","Polymorphisms of estrogen receptor|Polymorphisms in the fat mass-and obesity-associated (FTO) gene","Denusa Wiltgen|Hospital de Clinicas de Porto Alegre|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior.|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Federal University of Rio Grande do Sul","Female","42 Years to 58 Years   (Adult)","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","05053","March 2007","April 2011","April 2011","September 12, 2011",,"January 27, 2014","Hospital de Clínicas de Porto Alegre, Porto Alegre, Rio Grande do Sul, Brazil",,"https://ClinicalTrials.gov/show/NCT01432028"
14,"NCT01338142","Amorphous Calcium Carbonate (Acc) Versus Crystalline Calcium Carbonate (Ccc) Using Stable Calcium Isotopes In Postmenopausal Women",,"Unknown status","No Results Available","Postmenopause","Other: CCC|Other: ACC","Mean change in fractional absorption of calcium from amorphous calcium carbonate (ACC) Vs. crystalline calcium carbonate (CCC).","Tel-Aviv Sourasky Medical Center|Amorphical Ltd.","Female","40 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","15","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","TASMC-10-NV-571-CTIL","May 2011","May 2012","July 2012","April 19, 2011",,"April 19, 2011","Tel Aviv Medical Center, Tel Aviv, Israel",,"https://ClinicalTrials.gov/show/NCT01338142"
15,"NCT01232751","Effects of Isoflavones on Gene-expression","ISO","Completed","No Results Available","Postmenopause","Dietary Supplement: Isoflavone supplement","Gene-expression measured by micro-arrays|Isoflavone levels in plasma and spoturine|Confirmation of gene-expression with quantitative real time polymerase chain reaction (QPCR)","Wageningen University","Female","45 Years to 70 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)","NL 32375.081.10","August 2010","October 2011","October 2011","November 2, 2010",,"January 10, 2012","Wageningen University, Wageningen, Gelderland, Netherlands",,"https://ClinicalTrials.gov/show/NCT01232751"
16,"NCT00913926","Effects of Wellnara on Climacteric Symptoms",,"Completed","No Results Available","Postmenopause","Drug: E2/LNG oral (Wellnara, BAY86-5029)","Primary endpoint in the observation of efficacy concerning climacteric complaints is the change in Menopause Rating Scale (MRS II) in relation to the status immediately before starting treatment (Baseline).|Effects on climacteric-related skin, hair, and sexual problems|Subjective assessment of efficacy|Body weight|Blood Pressure|Waist-hip-ratio (as far as routinely used in the practice)|Occurrence of vaginal bleeding|Subjective assessment of tolerability|Adverse drug reactions","Bayer","Female","Child, Adult, Older Adult",,"749","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","14575|WN0810DE","September 2007","May 2009","May 2009","June 4, 2009",,"April 22, 2015","Many Locations, Germany",,"https://ClinicalTrials.gov/show/NCT00913926"
17,"NCT00847821","Observational Study Analyzing RNA Expression Of Endometrial Biopsy Samples From Placebo, Bazedoxifene/Conjugated Estrogens And Raloxifene",,"Terminated","No Results Available","Postmenopause","Drug: Bazedoxifene 10 mg/CE 0.625 mg|Drug: Bazedoxifene 20 mg/CE 0.625 mg|Drug: Bazedoxifene 40 mg/CE 0.625 mg|Drug: Bazedoxifene 10 mg/CE 0.45 mg|Drug: Bazedoxifene 20 mg/CE 0.45 mg|Drug: Bazedoxifene 40 mg/CE 0.45 mg|Drug: Raloxifene 60 mg|Drug: Placebo","Endometrial gene regulation at the level of mRNA expression in placebo, Bazedoxifene/CE, and raloxifene treated groups","Wyeth is now a wholly owned subsidiary of Pfizer","Female","40 Years to 75 Years   (Adult, Older Adult)",,"185","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","3115A1-1125|B2311003","May 2009","August 2010","August 2010","February 19, 2009",,"September 6, 2010","Pfizer Investigational Site, Fort Myers, Florida, United States|Pfizer Investigational Site, Gainesville, Florida, United States|Pfizer Investigational Site, New Port Richey, Florida, United States|Pfizer Investigational Site, West Palm Beach, Florida, United States|Pfizer Investigational Site, Decatur, Georgia, United States|Pfizer Investigational Site, Chicago, Illinois, United States|Pfizer Investigational Site, Lexington, Kentucky, United States|Pfizer Investigational Site, Louisville, Kentucky, United States|Pfizer Investigational Site, Southfield, Michigan, United States|Pfizer Investigational Site, Chaska, Minnesota, United States|Pfizer Investigational Site, Billings, Montana, United States|Pfizer Investigational Site, New Brunswick, New Jersey, United States|Pfizer Investigational Site, Las Vegas, New Mexico, United States|Pfizer Investigational Site, Rochester, New York, United States|Pfizer Investigational Site, Raleigh, North Carolina, United States|Pfizer Investigational Site, Cincinnati, Ohio, United States|Pfizer Investigational Site, Wexford, Pennsylvania, United States|Pfizer Investigational Site, Greenville, South Carolina, United States|Pfizer Investigational Site, Dallas, Texas, United States|Pfizer Investigational Site, San Antonio, Texas, United States|Pfizer Investigational Site, Charlottesville, Virginia, United States|Pfizer Investigational Site, Norfolk, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00847821"
18,"NCT00799708","A Study of the Effect of Estrogen on Estrogen Receptor Biomarkers in Healthy Postmenopausal Women (0000-094)(COMPLETED)",,"Completed","Has Results","Postmenopause","Drug: Comparator: placebo|Drug: Comparator: Estrace","Change From Baseline in Estrogen Receptor Beta (ERbeta) -Specific Gene Signature After Treatment With 2 mg, 0.5 mg, or no Estradiol (Placebo) at Day 7|Change From Baseline in Minor Gland Salivary Flow Rate After Treatment With 2 mg Estradiol vs Placebo at Day 7.","Merck Sharp & Dohme LLC","Female","40 Years and older   (Adult, Older Adult)","Phase 1","27","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Diagnostic","0000-094|094|2008_592","May 2008","October 2008","October 2008","December 1, 2008","July 29, 2010","March 16, 2016",,,"https://ClinicalTrials.gov/show/NCT00799708"
19,"NCT00235924","Study Assessing the Effects on Endometrium and Breast of Isoflavone in Post Menopausal Women",,"Unknown status","No Results Available","Postmenopause","Drug: soy isoflavone","- Endometrial innocuity (endometrial biopsy result)|- Mammary innocuity (mammography results)|- climacteric symptoms|-Lipid profile|-gynaecological and general safety","Laboratoires Arkopharma","Female","45 Years to 65 Years   (Adult, Older Adult)","Phase 3","300","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PHY04GE01","June 2004",,,"October 12, 2005",,"December 8, 2005",,,"https://ClinicalTrials.gov/show/NCT00235924"
20,"NCT00745173","Study Evaluating Premarin and Bazedoxifene Potential Interaction",,"Completed","No Results Available","Postmenopause","Drug: Premarin","Pharmacokinetic (absorption, distribution, breakdown and elimination in the body) parameters|To continue assessment of the safety profile as well as the tolerability the two drugs administered in combination in this population.","Wyeth is now a wholly owned subsidiary of Pfizer","Female","35 Years to 70 Years   (Adult, Older Adult)","Phase 1","30","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","3115A1-1135","September 2008","October 2008","October 2008","September 3, 2008",,"February 12, 2009","Dr. David Carter, Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00745173"
21,"NCT00706225","Study Evaluating Potential Drug Interaction Of Bazedoxifene & Premarin In Healthy Postmenopausal Women",,"Completed","No Results Available","Postmenopause","Drug: Bazedoxifene and conjugated estrogens","To evaluate the potential pharmacokinetic (PK) interaction of multiple oral doses of bazedoxifene (BZA) and a single dose of conjugated estrogens (CE) when co administered to healthy postmenopausal women.|To assess the safety of conjugated estrogens (CE) and bazedoxifene (BZA) when co administered to healthy postmenopausal women.","Wyeth is now a wholly owned subsidiary of Pfizer","Female","35 Years to 70 Years   (Adult, Older Adult)","Phase 1","30","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","3115A1-1134","June 2008","July 2008","July 2008","June 27, 2008",,"September 23, 2010","Daytona Beach, Florida, United States",,"https://ClinicalTrials.gov/show/NCT00706225"
22,"NCT00522873","Endometrial Safety Study",,"Completed","Has Results","Postmenopause","Drug: 0.25mg DRSP / 0.5mg E2 (BAY86-4891)|Drug: 0.5mg NETA / 1.0mg E2 (Activella)","Number of Participants in the DRSP/E2 Group With an Assessment of Endometrial Hyperplasia or Worse at End of Study (EoS) (1 Year of Treatment)|Number of Participants With Amenorrhea During Month 1 to 3 of Treatment|Number of Participants With Amenorrhea During Month 10 to 12 of Treatment","Bayer|Laboratorium für Klinische Forschung|Diagnostic Cytology Laboratory|University of California, San Francisco","Female","40 Years to 65 Years   (Adult, Older Adult)","Phase 3","662","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","91508|2006-006199-39|310523","August 2007","August 2009","August 2009","August 30, 2007","June 28, 2012","December 31, 2014","Chandler, Arizona, United States|San Diego, California, United States|San Diego, California, United States|Denver, Colorado, United States|Greenwood Village, Colorado, United States|Boynton Beach, Florida, United States|Clearwater, Florida, United States|Boise, Idaho, United States|Amite, Louisiana, United States|Marrero, Louisiana, United States|Las Vegas, Nevada, United States|Cleveland, Ohio, United States|Philadelphia, Pennsylvania, United States|Columbia, South Carolina, United States|Corpus Christi, Texas, United States|Richmond, Virginia, United States|Seattle, Washington, United States|Lanus Oeste, Buenos Aires, Argentina|San Isidro, Buenos Aires, Argentina|Buenos Aires, Ciudad Auton. de Buenos Aires, Argentina|Buenos Aires, Ciudad Auton. de Buenos Aires, Argentina|Mödling, Niederösterreich, Austria|Wiener Neustadt, Niederösterreich, Austria|Fuerstenfeld, Steiermark, Austria|Wörgl, Tirol, Austria|Bregenz, Vorarlberg, Austria|Innsbruck, Austria|Klagenfurt, Austria|Mürzzuschlag, Austria|St. Poelten, Austria|Wien, Austria|Wien, Austria|Wien, Austria|Wien, Austria|Zeltweg, Austria|Goiania, Goiás, Brazil|Curitiba, Parana, Brazil|Porto Alegre, Rio Grande do Sul, Brazil|Sao Paulo, Brazil|Alborg, Denmark|Ballerup, Denmark|Vejle, Denmark|Bologna, Italy|Cagliari, Italy|Modena, Italy|Novara, Italy|Parma, Italy|Pisa, Italy|Sassari, Italy|Siena, Italy|Mexico, Distrito Federal, Mexico|Mexico, Mexico|Monterrey, Mexico|México, D.F., Mexico|Moscow, Russian Federation|Moscow, Russian Federation|Moskva, Russian Federation|Moskva, Russian Federation|Moskva, Russian Federation",,"https://ClinicalTrials.gov/show/NCT00522873"
23,"NCT00550433","Study Evaluating Bazedoxifene/CE in Postmenopausal Women",,"Completed","No Results Available","Postmenopause","Device: Bazedoxifene/Conjugated Estrogens","The plasma concentration data and pharmacokinetic (PK) parameters of BZA and CE.","Wyeth is now a wholly owned subsidiary of Pfizer","Female","35 Years to 70 Years   (Adult, Older Adult)","Phase 1",,"Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","3115A1-1117","September 2007",,"November 2007","October 29, 2007",,"January 16, 2008",,,"https://ClinicalTrials.gov/show/NCT00550433"
24,"NCT00543634","Study Comparing Premarin®/MPA, PREMPRO® and Provera® in Healthy Postmenopausal Women",,"Completed","No Results Available","Postmenopause","Drug: Premarin/MPA|Drug: Provera 10 mg","Plasma concentration data and pharmacokinetic (PK) parameters of MPA and Premarin® (estrone, equilin and MPA).","Wyeth is now a wholly owned subsidiary of Pfizer|MDS Pharma Services","Female","35 Years to 70 Years   (Adult, Older Adult)","Phase 1","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","0713E1-1138","October 2007","December 2007","December 2007","October 15, 2007",,"June 22, 2010","Omaha, Nebraska, United States",,"https://ClinicalTrials.gov/show/NCT00543634"
25,"NCT00484107","Tolerability & Safety of Premarin Vaginal Cream in Indian Postmenopausal Women",,"Completed","No Results Available","Postmenopause","Drug: Conjugated Estrogen Cream (Premarin®)",,"Wyeth is now a wholly owned subsidiary of Pfizer","Female","40 Years to 65 Years   (Adult, Older Adult)",,"200","Industry","Observational",,"0713V-101833","September 2005",,"October 2006","June 8, 2007",,"December 28, 2007",,,"https://ClinicalTrials.gov/show/NCT00484107"
26,"NCT00472927","Bioequivalence Study of 3 New Formulations of Premarin/MPA Compared With Premarin/MPA (Prempro)",,"Completed","No Results Available","Postmenopause","Drug: Premarin/MPA 0.45 mg/1.5 mg","Plasma concentration data and PK parameters of MPA and Premarin (esrone and equilin components)","Wyeth is now a wholly owned subsidiary of Pfizer","Female","35 Years to 70 Years   (Adult, Older Adult)","Phase 1",,"Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0713E1-1142","May 2007",,"August 2007","May 14, 2007",,"December 6, 2007","Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT00472927"
27,"NCT00149604","AFTER: Altering Fat Through Estrogen and Raloxifene",,"Completed","No Results Available","Postmenopause","Drug: conjugated estrogens|Drug: Raloxifene|Behavioral: exercise plus mild caloric restriction for weight loss","total body fat mass|total abdominal fat area|visceral abdominal fat area|fat-free mass|total abdominal area|resting metabolic rate|dietary energy intake|cardiovascular fitness|glucose tolerance|blood lipids and lipoproteins|sex hormones (estradiol, estrone, testosterone, sex hormone binding globulin)|glucoregulatory and anti-lipolytic insulin action","National Institute on Aging (NIA)","Female","50 Years to 70 Years   (Adult, Older Adult)","Phase 2","108","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","AG0036|R01AG018198","March 2000","February 2006","February 2006","September 8, 2005",,"December 2, 2009","University of Colorado at Denver and Health Sciences Center, Denver, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT00149604"
28,"NCT00435175","Acute Metabolic Effects of Estradiol",,"Completed","No Results Available","Postmenopause","Drug: estradiol","Regional lipolysis assessed by microdialysis|Systemic lipolysis assessed by the isotope dilution technique|Lipoprotein lipase activity|Adrenergic receptor mRNA expression|Estrogen receptor mRNA expression|UCP2 mRNA expression","University of Aarhus","Female","45 Years to 70 Years   (Adult, Older Adult)","Not Applicable","8","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single|Primary Purpose: Treatment","2002-0242","June 2005",,"July 2006","February 14, 2007",,"February 14, 2007","Medical Research Laboratories, Aarhus, Denmark",,"https://ClinicalTrials.gov/show/NCT00435175"
29,"NCT03557398","Efficacy and Safety of HYDEAL-D Vaginal Pessaries Application on the Treatment of Vaginal Atrophy in Post-menopause Women",,"Completed","No Results Available","Vulvovaginal Atrophy","Device: Hydeal-D vaginal pessaries","Change of the average score of Vaginal Health Index (VHI)|Change of vaginal pH|Change of patient's perception of vulvovaginal symptoms|Improvement of sexual function through questionnaire Female Sexual Function Index (FSFI)|Improvement of sexual function through questionnaire Female Sexual Distress Scale-Revised (FSDS-R)|Amelioration of the vaginal maturation (VM) index|Patient's global assessment of overall satisfaction|Local tolerability at the application site|Safety of the treatment: Collection of adverse events","Fidia Farmaceutici s.p.a.","Female","45 Years to 75 Years   (Adult, Older Adult)","Not Applicable","40","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QQ53-17-01","November 29, 2017","May 29, 2018","May 29, 2018","June 15, 2018",,"June 15, 2018","Gynkomed s.r.o., Bratislava, Slovakia|ULMUS, s r.o., Hlohovec, Slovakia",,"https://ClinicalTrials.gov/show/NCT03557398"
30,"NCT00380887","Study Comparing Four New Formulations for Premarin in Healthy Postmenopausal Women",,"Completed","No Results Available","Postmenopause","Drug: Premarin",,"Wyeth is now a wholly owned subsidiary of Pfizer","Female","35 Years to 70 Years   (Adult, Older Adult)",,"54","Industry","Observational","Observational Model: Defined Population|Time Perspective: Other","0713E1-133, 0713E1-135","June 2005",,,"September 27, 2006",,"September 27, 2006",,,"https://ClinicalTrials.gov/show/NCT00380887"
31,"NCT00372099","Bone Microstructure in Nasal Salmon Calcitonin Treated Postmenopausal Women",,"Completed","No Results Available","Postmenopause","Drug: Salmon calcitonin","Bone micro-architecture evaluated by high resolution p-QCT|Bone turn-over markers","Rene Rizzoli|University Hospital, Geneva","Female","45 Years to 70 Years   (Adult, Older Adult)","Phase 3","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","05-262/Psy 05-038|CSMC051ACH01","January 2007","October 2011","November 2011","September 6, 2006",,"December 23, 2011",,,"https://ClinicalTrials.gov/show/NCT00372099"
